week,date,time,home_team,away_team,home_score,away_score,status,team,player,number,points,2pm,3pm,ftm,fta,fouls,forfeit_team
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Dani Moreno,4,6,0,2,0,0,1,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Pau Ruiz,5,8,1,1,3,3,4,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Mario Sánchez,6,3,0,1,0,1,0,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Adrià Moreno,7,8,0,2,2,2,3,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Hugo Moreno,8,8,1,1,3,3,5,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Marc Torres,9,2,0,0,2,2,5,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Álvaro Jiménez,10,4,0,0,4,4,1,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Nico Ramírez,11,4,0,1,1,1,5,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Pau Fernández,12,2,0,0,2,4,2,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Hugo Serrano,13,8,1,1,3,5,0,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Sergio Rodríguez,14,2,0,0,2,2,0,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Carlos Gómez,15,4,0,0,4,4,1,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Carlos Martínez,16,0,0,0,0,0,1,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Nacho Martínez,17,8,1,2,0,0,0,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Cebras,Iker Moreno,18,5,2,0,1,3,1,
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Iker García,4,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,César Jiménez,5,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Mario Navarro,6,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Nacho Pérez,7,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,César Navarro,8,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Sergio Sánchez,9,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Sergio Pérez,10,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Hugo Ramírez,11,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Álvaro Gómez,12,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Éric García,13,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Dani Molina,14,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Carlos Castro,15,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Pablo Molina,16,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,Marc López,17,0,0,0,0,0,0,Vikingos
1,2026-09-19,08:30,Cebras,Vikingos,72,0,finished,Vikingos,César Pérez,18,0,0,0,0,0,0,Vikingos
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Pau Fernández,4,4,0,0,4,4,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Nico Pérez,5,10,0,2,4,6,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Carlos Gómez,6,3,0,1,0,1,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Éric Vidal,7,5,0,0,5,5,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Mario Jiménez,8,10,1,2,2,2,3,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Guillem Rodríguez,9,4,1,0,2,2,2,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Carlos Ortega,10,5,1,0,3,3,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Marc García,11,6,1,1,1,1,1,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Álvaro Molina,12,4,0,0,4,4,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Pau Ruiz,13,1,0,0,1,1,3,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Lucas Fernández,14,5,0,0,5,7,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Rubén Martínez,15,2,1,0,0,0,1,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Hugo Vidal,16,4,2,0,0,0,1,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Guillem Moreno,17,2,0,0,2,2,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Auroras,Carlos Molina,18,7,2,1,0,0,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Adrià Sánchez,4,3,0,1,0,0,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Iker García,5,6,0,2,0,0,2,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Rubén García,6,6,0,1,3,3,4,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Hugo Gómez,7,2,0,0,2,2,0,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Guillem García,8,5,2,0,1,1,2,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,César Martínez,9,4,0,0,4,4,5,
1,2026-09-19,10:00,Auroras,Lobos,72,88,finished,Lobos,Nico Molina,10,11,0,1,8,8,0,
